"Date","Price","Open","High","Low","Vol.","Change %"
"12/23/2018","27.02","27.39","27.41","26.93","0.05K","0.19%"
"12/16/2018","26.97","26.45","27.03","26.45","2.52K","4.70%"
"12/09/2018","25.76","25.00","25.50","25.00","1.06K","13.98%"
"12/02/2018","22.60","22.85","22.90","22.25","2.09K","-0.44%"
"11/25/2018","22.70","22.70","22.70","22.70","0.98K","1.34%"
"11/18/2018","22.40","21.90","23.32","21.90","1.53K","5.11%"
"11/11/2018","21.31","22.79","22.79","21.87","1.80K","-1.57%"
"11/04/2018","21.65","20.39","20.39","20.39","1.33K","12.88%"
"10/28/2018","19.18","19.88","19.88","17.51","7.47K","-6.85%"
"10/21/2018","20.59","22.17","22.49","21.47","0.48K","-9.05%"
"10/14/2018","22.64","23.72","23.76","21.45","5.55K","-6.48%"
"10/07/2018","24.21","26.18","26.20","22.55","3.00K","-7.24%"
"09/30/2018","26.10","24.42","25.38","24.42","0.33K","5.97%"
"09/23/2018","24.63","24.63","24.63","24.63","0.23K","-1.00%"
"09/16/2018","24.88","22.43","22.43","22.43","1.83K","10.97%"
"09/09/2018","22.42","26.51","26.51","23.00","0.88K","-11.49%"
"09/02/2018","25.33","22.22","22.22","22.21","0.44K","9.18%"
"08/26/2018","23.20","23.14","23.65","22.87","0.87K","1.62%"
"08/19/2018","22.83","20.14","22.68","20.14","2.06K","13.92%"
"08/12/2018","20.04","19.81","20.09","19.81","0.77K","1.57%"
"08/05/2018","19.73","19.73","19.73","19.73","0.06K","1.02%"
"07/29/2018","19.53","19.62","19.62","19.56","0.29K","2.30%"
"07/22/2018","19.09","19.16","19.16","19.16","1.75K","1.70%"
"07/15/2018","18.77","18.77","18.77","18.77","0.30K","6.11%"
"07/08/2018","17.69","17.69","17.69","17.69","74.60K","2.37%"
"07/01/2018","17.28","17.28","17.28","17.28","0.00K","4.66%"
"06/24/2018","16.51","16.51","16.51","16.51","0.07K","-0.60%"
"06/17/2018","16.61","16.61","16.61","16.61","0.50K","3.94%"
"06/10/2018","15.98","15.98","15.98","15.98","0.05K","-7.09%"
"06/03/2018","17.20","17.20","17.20","17.20","0.00K","3.93%"
"05/27/2018","16.55","16.55","16.55","16.55","0.07K","-3.61%"
"05/20/2018","17.17","17.17","17.17","17.17","0.07K","4.82%"
"05/13/2018","16.38","16.39","16.39","16.39","0.01K","4.46%"
"05/06/2018","15.68","15.68","15.68","15.68","0.01K","11.68%"
"04/29/2018","14.04","14.04","14.04","14.04","0.00K","-3.70%"
"04/22/2018","14.58","14.58","14.58","14.58","0.11K","3.99%"
"04/15/2018","14.02","14.02","14.02","14.02","0.31K","-5.53%"
"04/08/2018","14.84","14.84","14.84","14.84","118.58K","7.85%"
"04/01/2018","13.76","13.76","13.76","13.76","83.76K","-1.99%"
"03/25/2018","14.04","14.04","14.04","14.04","7.00K","6.12%"
"03/18/2018","13.23","13.23","13.23","13.23","1.06K","12.79%"
"03/11/2018","11.73","11.73","11.73","11.73","0.10K","-0.51%"
"03/04/2018","11.79","11.79","11.79","11.79","0.86K","9.47%"
"02/25/2018","10.77","10.77","10.77","10.77","1.87K","3.26%"
"02/18/2018","10.43","10.43","10.43","10.43","82.13K","2.96%"
"02/11/2018","10.13","10.13","10.13","10.13","0.01K","3.47%"
"02/04/2018","9.79","9.79","9.79","9.79","75.08K","2.73%"
"01/28/2018","9.53","9.53","9.53","9.53","0.38K","-1.45%"
"01/21/2018","9.67","9.67","9.67","9.67","1.00K","4.54%"
"01/14/2018","9.25","9.25","9.25","9.25","0.13K","11.99%"
"01/07/2018","8.26","8.26","8.26","8.26","58.43K","0.85%"
"12/31/2017","8.19","8.19","8.19","8.19","33.52K","-4.77%"
"12/24/2017","8.60","8.60","8.60","8.60","10.98K","-0.23%"
"12/17/2017","8.62","8.62","8.62","8.62","13.04K","12.68%"
"12/10/2017","7.65","7.69","7.69","7.69","0.70K","0.92%"
"12/03/2017","7.58","7.58","7.58","7.58","75.47K","-6.77%"
"11/26/2017","8.13","8.13","8.13","8.13","62.83K","-0.97%"
"11/19/2017","8.21","8.21","8.21","8.21","0.01K","3.53%"
"11/12/2017","7.93","7.93","7.93","7.93","20.60K","0.89%"
"11/05/2017","7.86","7.86","7.86","7.86","0.65K","-5.53%"
"10/29/2017","8.32","8.32","8.32","8.32","0.00K","9.33%"
"10/22/2017","7.61","7.61","7.61","7.61","0.75K","-4.87%"
"10/15/2017","8.00","8.00","8.00","8.00","0.03K","2.83%"
"10/08/2017","7.78","7.78","7.78","7.78","0.15K","3.46%"
"10/01/2017","7.52","7.52","7.52","7.52","10.74K","-0.92%"
"09/24/2017","7.59","7.59","7.59","7.59","11.99K","6.30%"
"09/17/2017","7.14","7.14","7.14","7.14","0.02K","-4.03%"
"09/10/2017","7.44","7.44","7.44","7.44","0.01K","-1.59%"
"09/03/2017","7.56","7.56","7.56","7.56","0.00K","17.57%"
"08/27/2017","6.43","6.43","6.43","6.43","0.16K","-3.89%"
"08/20/2017","6.69","6.69","6.69","6.69","0.11K","4.37%"
"08/13/2017","6.41","6.41","6.41","6.41","21.15K","7.01%"
"08/06/2017","5.99","5.99","5.99","5.99","8.68K","2.22%"
"07/30/2017","5.86","5.86","5.86","5.86","0.01K","2.99%"
"07/23/2017","5.69","5.69","5.69","5.69","5.63K","1.61%"
"07/16/2017","5.60","5.60","5.60","5.60","0.02K","-3.78%"
"07/09/2017","5.82","5.82","5.82","5.82","0.00K","1.39%"
"07/02/2017","5.74","5.74","5.74","5.74","8.97K","5.90%"
"06/25/2017","5.42","5.42","5.42","5.42","11.19K","3.24%"
"06/18/2017","5.25","5.25","5.25","5.25","0.17K","-0.19%"
"06/11/2017","5.26","5.26","5.26","5.26","4.06K","-2.95%"
"06/04/2017","5.42","5.42","5.42","5.42","0.15K","-2.17%"
"05/28/2017","5.54","5.54","5.54","5.54","0.05K","-0.72%"
"05/21/2017","5.58","5.58","5.58","5.58","0.23K","6.90%"
"05/14/2017","5.22","5.22","5.22","5.22","0.03K","8.07%"
"05/07/2017","4.83","4.83","4.83","4.83","0.03K","-2.23%"
"04/30/2017","4.94","4.94","4.94","4.94","0.01K","0.00%"
"04/23/2017","4.94","4.94","4.94","4.94","0.00K","0.00%"
"04/16/2017","4.94","4.94","4.94","4.94","0.01K","-7.14%"
"04/09/2017","5.32","5.32","5.32","5.32","0.00K","1.33%"
"04/02/2017","5.25","5.25","5.25","5.25","0.01K","4.17%"
"03/26/2017","5.04","5.04","5.04","5.04","1.18K","-1.37%"
"03/19/2017","5.11","5.11","5.11","5.11","5.43K","-6.75%"
"03/12/2017","5.48","5.48","5.48","5.48","0.94K","-0.54%"
"03/05/2017","5.51","5.51","5.51","5.51","2.25K","-7.24%"
"02/26/2017","5.94","5.94","5.94","5.94","2.30K","3.66%"
"02/19/2017","5.73","5.73","5.73","5.73","0.01K","7.91%"
"02/12/2017","5.31","5.31","5.31","5.31","0.02K","-2.57%"
"02/05/2017","5.45","5.45","5.45","5.45","8.46K","-0.73%"
"01/29/2017","5.49","5.49","5.49","5.49","0.02K","11.81%"
"01/22/2017","4.91","5.19","5.19","4.95","0.01K","-9.41%"
"01/15/2017","5.42","4.96","4.96","4.66","0.04K","7.75%"
"01/08/2017","5.03","5.05","5.36","5.05","0.01K","0.00%"
"01/01/2017","5.03","5.64","5.68","5.04","0.05K","-23.09%"
"12/25/2016","6.54","6.54","6.54","6.54","0.25K","5.14%"
"12/18/2016","6.22","4.96","5.89","4.93","16.02K","26.17%"
"12/11/2016","4.93","4.51","5.19","4.49","113.04K","10.54%"
"12/04/2016","4.46","4.27","4.78","3.97","96.85K","3.72%"
"11/27/2016","4.30","4.99","4.99","4.25","76.18K","-14.00%"
"11/20/2016","5.00","5.47","5.47","5.35","0.00K","-10.39%"
"11/13/2016","5.58","5.55","5.80","5.55","0.01K","-1.59%"
"11/06/2016","5.67","6.52","6.52","5.70","0.01K","-11.54%"
"10/30/2016","6.41","5.93","5.97","5.93","0.02K","9.01%"
"10/23/2016","5.88","5.76","5.76","5.75","0.01K","-0.17%"
"10/16/2016","5.89","5.90","5.90","5.90","0.00K","1.38%"
"10/09/2016","5.81","5.55","5.64","5.55","0.00K","2.11%"
"10/02/2016","5.69","5.22","5.67","5.22","0.01K","14.72%"
"09/25/2016","4.96","4.64","5.19","4.64","0.10K","9.25%"
"09/18/2016","4.54","4.43","4.65","4.10","0.03K","4.13%"
"09/11/2016","4.36","3.97","3.97","3.97","0.00K","6.86%"
"09/04/2016","4.08","4.08","4.08","4.08","5.67K","0.00%"
"08/28/2016","4.08","4.35","4.35","4.33","1.21K","-13.01%"
"08/21/2016","4.69","4.87","4.87","4.87","0.01K","-1.47%"
"08/14/2016","4.76","4.49","4.49","4.49","0.01K","-2.66%"
"08/07/2016","4.89","4.89","4.89","4.89","1.28K","3.60%"
"07/31/2016","4.72","4.56","4.59","4.56","0.01K","7.03%"
"07/24/2016","4.41","4.40","4.40","4.40","0.00K","-3.08%"
"07/17/2016","4.55","4.72","4.72","4.72","0.01K","-7.52%"
"07/10/2016","4.92","4.53","4.85","4.43","0.09K","8.61%"
"07/03/2016","4.53","4.51","4.72","4.51","0.03K","-1.74%"
"06/26/2016","4.61","5.06","5.06","4.46","0.06K","-6.87%"
"06/19/2016","4.95","5.56","5.57","4.89","2.32K","-12.54%"
"06/12/2016","5.66","5.89","5.89","5.67","0.57K","-4.71%"
"06/05/2016","5.94","6.36","6.36","5.95","0.26K","0.17%"
"05/29/2016","5.93","5.98","5.98","5.98","1.87K","-1.50%"
"05/22/2016","6.02","5.90","5.90","5.81","0.12K","1.18%"
"05/15/2016","5.95","5.90","5.97","5.89","0.54K","1.88%"
"05/08/2016","5.84","5.83","5.85","5.83","0.16K","-0.17%"
"05/01/2016","5.85","5.85","5.85","5.85","2.74K","-5.19%"
"04/24/2016","6.17","5.94","6.06","5.94","0.05K","3.52%"
"04/17/2016","5.96","5.50","5.75","5.50","0.02K","8.96%"
"04/10/2016","5.47","5.52","5.55","5.50","0.07K","1.11%"
"04/03/2016","5.41","5.32","5.32","5.32","0.01K","4.84%"
"03/27/2016","5.16","4.77","5.09","4.77","0.02K","6.61%"
"03/20/2016","4.84","4.84","4.84","4.84","1.52K","-1.83%"
"03/13/2016","4.93","4.97","5.01","4.61","0.32K","-1.00%"
"03/06/2016","4.98","4.97","5.20","4.84","3.83K","1.22%"
"02/28/2016","4.92","4.95","5.02","4.78","3.56K","-1.20%"
"02/21/2016","4.98","5.24","5.24","4.72","0.03K","-3.30%"
"02/14/2016","5.15","4.98","4.98","4.88","0.02K","1.98%"
"02/07/2016","5.05","5.20","5.20","4.63","0.02K","-8.84%"
"01/31/2016","5.54","5.85","5.85","5.60","0.07K","-8.28%"
"01/24/2016","6.04","5.95","5.95","5.90","0.88K","-4.43%"
"01/17/2016","6.32","6.55","6.61","6.55","0.10K","-5.25%"
"01/10/2016","6.67","7.00","7.00","6.73","4.51K","-9.99%"
